hap,ind
Hap_1,NC.MV.32
Hap_1,NC.MV.20
Hap_1,NC.MV.17
Hap_1,NC.MV.22
Hap_1,NC.MV.21
Hap_1,NC.MV.11
Hap_1,NC.MV.18
Hap_1,SC.CH.25
Hap_1,NC.MV.27
Hap_1,SC.BA.04
Hap_1,NC.MV.28
Hap_1,NC.MV.07
Hap_1,SC.CH.35
Hap_1,NC.MV.12
Hap_1,NC.MV.10
Hap_1,NC.NR.04
Hap_1,SC.BA.03
Hap_1,SC.BA.11
Hap_1,SC.CH.24
Hap_1,SC.BA.07
Hap_1,SC.GB.07
Hap_1,NC.MV.16
Hap_1,NC.MV.34
Hap_1,NC.MV.26
Hap_1,SC.BA.02
Hap_1,SC.CH.32
Hap_1,SC.BA.05
Hap_1,NC.MV.04
Hap_1,NC.NR.03
Hap_1,SC.GB.02
Hap_1,NC.MV.15
Hap_1,NC.MV.30
Hap_1,NC.NR.06
Hap_1,NC.NR.01
Hap_1,SC.CH.36
Hap_1,SC.CH.23
Hap_1,SC.GB.08
Hap_1,NC.MV.23
Hap_1,SC.CH.05
Hap_1,SC.CH.06
Hap_1,SC.CH.07
Hap_1,SC.CH.10
Hap_1,VA.WA.02
Hap_1,NC.MV.01
Hap_1,SC.BA.14
Hap_1,NC.MV.14
Hap_1,SC.CH.03
Hap_1,NC.MV.25
Hap_1,FL.ST.14
Hap_1,SC.DN.14
Hap_1,MA.DU.20
Hap_1,VA.WA.31
Hap_1,VA.WA.32
Hap_1,VA.WA.33
Hap_1,VA.WA.34
Hap_1,MA.WE.02
Hap_1,VA.WA.01
Hap_1,VA.WA.03
Hap_1,VA.WA.04
Hap_1,VA.WA.08
Hap_1,VA.WA.09
Hap_1,VA.WA.10
Hap_1,VA.WA.11
Hap_1,VA.WA.12
Hap_1,VA.WA.13
Hap_1,VA.WA.15
Hap_1,VA.WA.18
Hap_1,VA.WA.19
Hap_1,VA.WA.20
Hap_1,VA.WA.21
Hap_1,VA.WA.23
Hap_1,VA.WA.24
Hap_1,VA.WA.25
Hap_1,VA.WA.26
Hap_1,VA.WA.28
Hap_1,VA.WA.29
Hap_1,VA.WA.30
Hap_1,SC.DN.01
Hap_1,SC.DN.03
Hap_1,SC.DN.04
Hap_1,SC.DN.05
Hap_1,SC.DN.06
Hap_1,SC.DN.07
Hap_1,SC.DN.08
Hap_1,SC.DN.09
Hap_1,SC.DN.10
Hap_1,NC.BE.03
Hap_1,FL.AM.07
Hap_1,FL.AM.05
Hap_1,FL.AM.04
Hap_1,NC.BE.02
Hap_2,NC.NR.10
Hap_2,NC.BE.05
Hap_2,NC.BE.09
Hap_3,FL.ST.19
Hap_3,FL.ST.02
Hap_3,FL.ST.16
Hap_3,FL.ST.20
Hap_3,FL.ST.03
Hap_3,FL.ST.05
Hap_3,NC.NR.12
Hap_4,FL.ST.13
Hap_5,FL.ST.01
Hap_6,MA.WE.55
Hap_6,MA.WE.53
Hap_6,MA.DU.01
Hap_6,MA.DU.02
Hap_6,VA.WA.35
Hap_6,MA.WE.01
Hap_6,NC.BE.10
Hap_6,MA.BA.14
Hap_6,MA.BA.13
Hap_6,MA.BA.12
Hap_6,MA.BA.11
Hap_6,MA.BA.10
Hap_6,MA.BA.09
Hap_6,MA.BA.01
Hap_6,MA.BA.07
Hap_6,MA.BA.06
Hap_6,MA.BA.05
Hap_6,MA.BA.02
Hap_6,MA.BA.17
Hap_6,MA.BA.16
Hap_6,MA.BA.15
Hap_7,FL.ST.10
Hap_8,FL.ST.09
Hap_9,SC.CH.29
Hap_10,SC.GB.04
Hap_11,SC.CH.20
Hap_12,SC.CH.09
Hap_13,FL.CL.02
Hap_13,FL.CL.03
Hap_13,FL.CL.05
Hap_13,FL.CL.06
Hap_13,FL.FP.01
Hap_13,FL.FP.02
Hap_13,FL.FP.03
Hap_13,FL.FP.05
Hap_13,FL.FP.06
Hap_13,FL.FP.07
Hap_13,FL.FP.08
Hap_13,VA.WA.05
Hap_14,NC.MV.31
Hap_15,SC.DN.12
Hap_16,SC.DN.13
Hap_17,SC.DN.15
Hap_18,VA.WA.16
Hap_19,VA.WA.17
Hap_20,SC.DN.02
Hap_21,SC.DN.11
Hap_22,FL.AM.09
Hap_23,FL.AM.06
Hap_24,NC.BE.01
