"","5_Diopatra_biscayensis_1","5_Diopatra_ornata_2","5_Diopatra_petiniconicum_3","5_Diopatra_cuprea_4","5_Diopatra_cuprea_5","unk_Diopatra_victoriae_6","unk_Diopatra_hannelorae_7","2_Diopatra_marocensis_8","2_Diopatra_sp11_9","1_Diopatra_micrura_10","1_Diopatra_neapolitana_11","3_Diopatra_sp12_12","3_Diopatra_spA_13","4_Diopatra_dubia_14","4_Diopatra_sp16_15","outgroup_Nothria_conchylega_16","outgroup_Nothria_conchylega_17","outgroup_Hyalinoecia_tubicola_18","outgroup_Hyalinoecia_tubicola_19","Hap_1","Hap_2","Hap_3","Hap_4","Hap_5","Hap_6","Hap_7","Hap_8","Hap_9","Hap_10","Hap_11","Hap_12","Hap_13","Hap_14","Hap_15","Hap_16","Hap_17","Hap_18","Hap_19","Hap_20","Hap_21","Hap_22","Hap_23","Hap_24"
"5_Diopatra_biscayensis_1",0,0.215489023662947,0.177877698012347,0.18598821729804,0.183182787568355,0.190983812986184,0.229373111140517,0.231885695103892,0.224212108103272,0.223642389381014,0.218313889934006,0.221346770748779,0.239578609770581,0.223314056610673,0.186279776940618,0.279900817900082,0.273979559251111,0.237145565581157,0.234263713222782,0.193686522269638,0.207969779008598,0.18598821729804,0.183307245727347,0.183307245727347,0.175462220284413,0.204086824322701,0.180640572739666,0.190983812986184,0.193686522269638,0.196403920262616,0.196271878906043,0.204086824322701,0.198747146651721,0.196271878906043,0.193686522269638,0.178107729101621,0.193686522269638,0.196403920262616,0.193686522269638,0.201471949035503,0.193686522269638,0.196271878906043,0.207969779008598
"5_Diopatra_ornata_2",0.215489023662947,0,0.198489970293025,0.173657826010287,0.171160764024092,0.213213891399466,0.215664891423622,0.22999251930381,0.209346667944896,0.22999251930381,0.24004412442332,0.212109105910881,0.281385987842412,0.232094729400337,0.234772694159055,0.233912196693104,0.242574555563338,0.243144939301568,0.243144939301568,0.205565914333738,0.202569128581487,0.173657826010287,0.173657826010287,0.173657826010287,0.208382823192866,0.19654568126567,0.184069952062689,0.208382823192866,0.208382823192866,0.208382823192866,0.208171428087918,0.19654568126567,0.213411772086912,0.205362431935806,0.205565914333738,0.211215691960704,0.205565914333738,0.208382823192866,0.205565914333738,0.196697123762315,0.205565914333738,0.208171428087918,0.202569128581487
"5_Diopatra_petiniconicum_3",0.177877698012347,0.198489970293025,0,0.191247478533297,0.18598821729804,0.177603043687221,0.224212108103272,0.28452079434921,0.252020912030793,0.259339925052833,0.258267583336195,0.208969378957838,0.266000158509035,0.203184943955924,0.221154806667722,0.263037575218305,0.300480368739509,0.269737711820255,0.266670217536497,0.205565914333738,0.197028905693201,0.191247478533297,0.188544769249843,0.188544769249843,0.202383128709535,0.206711702751462,0.185621831304696,0.205565914333738,0.202764786559403,0.202764786559403,0.202970069181769,0.206711702751462,0.213837211092693,0.208171428087918,0.205565914333738,0.205168651234263,0.205565914333738,0.208382823192866,0.205565914333738,0.204086824322701,0.205565914333738,0.208171428087918,0.197028905693201
"5_Diopatra_cuprea_4",0.18598821729804,0.173657826010287,0.191247478533297,0,0.00405989487060459,0.199444383421135,0.215167610224127,0.229012123976108,0.236579908497568,0.222782412095304,0.225591408247416,0.242621466838035,0.274149298939969,0.206834083981521,0.215022143369482,0.2524768400871,0.24673305658823,0.216861422285362,0.219601155167675,0.16545077949263,0.166193406556047,0,0.00202840034780721,0.00202840034780721,0.178374947086383,0.140522936710088,0.012257836756458,0.16545077949263,0.168068586519602,0.16284660693906,0.167940005078651,0.140522936710088,0.178236708064805,0.165329033088075,0.16545077949263,0.181048750249681,0.16545077949263,0.168068586519602,0.16545077949263,0.14063980466959,0.16545077949263,0.167940005078651,0.166193406556047
"5_Diopatra_cuprea_5",0.183182787568355,0.171160764024092,0.18598821729804,0.00405989487060459,0,0.196858210616243,0.215022143369482,0.226322059328103,0.23932286360962,0.217312937384941,0.225476930098719,0.239878094469444,0.277019082289302,0.206966509823301,0.217680194187502,0.249718140081482,0.243994035937766,0.219555675252222,0.222302934911043,0.162731624649524,0.166027138288701,0.00405989487060459,0.00610071403042882,0.00202737174651981,0.178236708064805,0.140414501723622,0.0122483409589135,0.162731624649524,0.165329033088075,0.160147639570302,0.165216292927696,0.140414501723622,0.175462220284413,0.162625613556697,0.162731624649524,0.180903381052487,0.162731624649524,0.165329033088075,0.162731624649524,0.140522936710088,0.162731624649524,0.165216292927696,0.166027138288701
"unk_Diopatra_victoriae_6",0.190983812986184,0.213213891399466,0.177603043687221,0.199444383421135,0.196858210616243,0,0.156025634002967,0.231398375868289,0.222419845544394,0.218140159169299,0.242327098210436,0.243144939301568,0.279736500348529,0.206711702751462,0.196697123762315,0.273089180337815,0.273365616378318,0.24537577616104,0.24246879122833,0.170320975456465,0.191549398798341,0.199444383421135,0.196697123762315,0.199444383421135,0.183307245727347,0.178236708064805,0.193964876526275,0.172945653399537,0.167710003465889,0.167710003465889,0.167820465481265,0.178236708064805,0.178107729101621,0.172830635262276,0.165112595027337,0.18598821729804,0.170320975456465,0.172945653399537,0.170320975456465,0.178374947086383,0.170320975456465,0.172830635262276,0.191549398798341
"unk_Diopatra_hannelorae_7",0.229373111140517,0.215664891423622,0.224212108103272,0.215167610224127,0.215022143369482,0.156025634002967,0,0.236579908497568,0.258747947398787,0.245892144304915,0.239445245852061,0.257579057994902,0.290306982192589,0.220640180002945,0.212680027510835,0.263395968294471,0.275929741420116,0.269260914295383,0.266212124361324,0.181203382245366,0.185856590731652,0.215167610224127,0.217976606376239,0.215167610224127,0.218895770724624,0.214761894841381,0.223314056610673,0.183898806562804,0.183898806562804,0.178522410674673,0.178679064261045,0.214761894841381,0.189157036044303,0.183736928767871,0.181203382245366,0.221761108079116,0.181203382245366,0.183898806562804,0.181203382245366,0.212109105910881,0.181203382245366,0.183736928767871,0.185856590731652
"2_Diopatra_marocensis_8",0.231885695103892,0.22999251930381,0.28452079434921,0.229012123976108,0.226322059328103,0.231398375868289,0.236579908497568,0,0.181722516975229,0.201736414172138,0.223165453999571,0.265433107053246,0.316291260867902,0.223822038494457,0.226885528427225,0.28315412858521,0.299607895953851,0.260169754753788,0.260169754753788,0.229187396682595,0.226885528427225,0.229012123976108,0.231885695103892,0.229012123976108,0.245892144304915,0.220098459909669,0.226154973344389,0.226322059328103,0.229187396682595,0.226322059328103,0.231885695103892,0.220098459909669,0.243144939301568,0.231885695103892,0.223473048770784,0.248842005368509,0.229187396682595,0.23206924904097,0.229187396682595,0.220218287053507,0.229187396682595,0.231885695103892,0.226885528427225
"2_Diopatra_sp11_9",0.224212108103272,0.209346667944896,0.252020912030793,0.236579908497568,0.23932286360962,0.222419845544394,0.258747947398787,0.181722516975229,0,0.213025949552194,0.214647198776886,0.265267192048959,0.336302885776585,0.223314056610673,0.260818625879756,0.286054741737381,0.299336094632568,0.278270712967094,0.275174727843133,0.211884760810901,0.208900826440269,0.236579908497568,0.239445245852061,0.236579908497568,0.242785079402154,0.214886890833182,0.244958701457183,0.214647198776886,0.211884760810901,0.214647198776886,0.214542847197133,0.214886890833182,0.219890279799656,0.211788019291649,0.211884760810901,0.245709064343365,0.211884760810901,0.214647198776886,0.211884760810901,0.212236620844755,0.211884760810901,0.214542847197133,0.208900826440269
"1_Diopatra_micrura_10",0.223642389381014,0.22999251930381,0.259339925052833,0.222782412095304,0.217312937384941,0.218140159169299,0.245892144304915,0.201736414172138,0.213025949552194,0,0.180640572739666,0.287954680331194,0.291714812162295,0.218895770724624,0.196149596380391,0.263395968294471,0.279054751592701,0.243144939301568,0.243144939301568,0.185341517926393,0.212374306869807,0.222782412095304,0.225591408247416,0.219989108740984,0.204810332241276,0.209466530656947,0.225591408247416,0.182702989375971,0.185341517926393,0.185341517926393,0.187912907389941,0.209466530656947,0.187779982536109,0.187912907389941,0.190660717028921,0.207595854766003,0.185341517926393,0.187994044041239,0.185341517926393,0.209596521947506,0.185341517926393,0.187912907389941,0.212374306869807
